iter	Passed	Remaining
0	141	141595
1	143	71398
2	144	48027
3	145	36319
4	161	32077
5	162	26996
6	175	24869
7	176	21902
8	190	20972
9	191	18989
10	193	17362
11	194	16014
12	196	14884
13	197	13910
14	198	13059
15	200	12318
16	201	11676
17	203	11101
18	204	10581
19	205	10080
20	207	9660
21	208	9268
22	209	8891
23	210	8562
24	211	8262
25	213	7988
26	214	7731
27	216	7501
28	217	7286
29	218	7076
30	220	6879
31	221	6693
32	221	6503
33	222	6325
34	223	6174
35	225	6029
36	226	5899
37	228	5774
38	229	5652
39	230	5537
40	232	5432
41	233	5318
42	234	5217
43	235	5125
44	237	5035
45	238	4945
46	239	4866
47	241	4785
48	242	4702
49	243	4630
50	254	4728
51	255	4649
52	256	4582
53	257	4516
54	259	4455
55	260	4387
56	261	4319
57	262	4260
58	263	4203
59	264	4138
60	265	4084
61	266	4039
62	268	3991
63	269	3943
64	271	3900
65	272	3856
66	273	3811
67	275	3770
68	276	3729
69	277	3688
70	279	3652
71	280	3617
72	281	3580
73	283	3547
74	285	3515
75	286	3480
76	287	3444
77	288	3412
78	289	3378
79	291	3349
80	292	3318
81	293	3287
82	294	3257
83	296	3228
84	297	3201
85	298	3174
86	300	3150
87	301	3126
88	303	3104
89	304	3082
90	306	3060
91	307	3038
92	308	3012
93	310	2995
94	315	3010
95	317	2990
96	318	2969
97	329	3034
98	344	3139
99	346	3116
100	347	3093
101	348	3070
102	350	3048
103	350	3021
104	358	3057
105	359	3035
106	361	3014
107	362	2994
108	363	2974
109	365	2955
110	366	2936
111	367	2917
112	369	2899
113	370	2883
114	372	2864
115	373	2848
116	375	2830
117	376	2812
118	377	2795
119	379	2780
120	380	2762
121	381	2744
122	382	2727
123	384	2713
124	385	2698
125	386	2682
126	387	2666
127	389	2650
128	390	2636
129	391	2620
130	392	2606
131	393	2590
132	395	2577
133	396	2563
134	397	2549
135	399	2535
136	400	2521
137	401	2507
138	402	2493
139	403	2480
140	404	2467
141	406	2453
142	407	2441
143	408	2428
144	410	2418
145	411	2407
146	412	2395
147	413	2382
148	414	2370
149	416	2359
150	417	2346
151	418	2335
152	419	2324
153	421	2312
154	422	2301
155	423	2292
156	424	2281
157	426	2270
158	426	2257
159	427	2246
160	429	2237
161	430	2227
162	431	2216
163	432	2206
164	434	2197
165	434	2184
166	453	2260
167	457	2263
168	458	2252
169	460	2245
170	461	2237
171	463	2229
172	464	2222
173	466	2214
174	468	2207
175	469	2199
176	470	2189
177	472	2181
178	473	2172
179	478	2180
180	480	2172
181	481	2166
182	494	2209
183	496	2200
184	497	2191
185	509	2229
186	511	2221
187	512	2214
188	514	2206
189	516	2200
190	517	2193
191	519	2186
192	521	2179
193	522	2172
194	524	2164
195	525	2156
196	537	2191
197	539	2184
198	552	2222
199	553	2214
200	554	2206
201	556	2197
202	557	2189
203	559	2181
204	560	2173
205	565	2179
206	567	2172
207	568	2163
208	569	2155
209	570	2146
210	571	2138
211	573	2130
212	574	2121
213	575	2113
214	576	2105
215	577	2097
216	579	2089
217	580	2082
218	581	2074
219	582	2066
220	583	2056
221	584	2048
222	585	2040
223	587	2033
224	588	2026
225	589	2019
226	591	2012
227	592	2005
228	593	1998
229	594	1991
230	595	1984
231	597	1977
232	598	1970
233	600	1964
234	601	1957
235	602	1950
236	603	1944
237	605	1937
238	606	1930
239	607	1923
240	608	1917
241	609	1910
242	611	1903
243	612	1897
244	613	1891
245	614	1884
246	616	1877
247	617	1871
248	618	1865
249	620	1860
250	621	1855
251	623	1850
252	624	1845
253	629	1850
254	631	1844
255	645	1875
256	647	1871
257	649	1866
258	650	1861
259	651	1855
260	653	1849
261	654	1842
262	655	1836
263	656	1830
264	658	1825
265	659	1820
266	661	1815
267	662	1810
268	664	1805
269	665	1800
270	666	1793
271	668	1788
272	669	1782
273	670	1777
274	672	1772
275	673	1767
276	674	1761
277	676	1756
278	677	1750
279	678	1745
280	680	1740
281	681	1734
282	682	1729
283	683	1723
284	685	1719
285	686	1714
286	687	1708
287	688	1702
288	689	1697
289	691	1691
290	692	1686
291	693	1681
292	694	1676
293	695	1671
294	697	1666
295	698	1661
296	699	1656
297	701	1651
298	702	1646
299	703	1641
300	704	1636
301	706	1632
302	707	1627
303	708	1623
304	710	1617
305	711	1613
306	712	1608
307	713	1604
308	715	1599
309	716	1594
310	717	1590
311	719	1585
312	720	1581
313	721	1576
314	722	1571
315	724	1567
316	725	1562
317	726	1558
318	727	1553
319	728	1548
320	730	1544
321	731	1539
322	732	1535
323	733	1531
324	735	1526
325	736	1522
326	737	1518
327	739	1514
328	740	1510
329	741	1505
330	743	1501
331	744	1497
332	745	1493
333	746	1489
334	748	1485
335	749	1481
336	750	1477
337	752	1473
338	753	1468
339	754	1464
340	755	1460
341	756	1455
342	757	1451
343	759	1447
344	761	1445
345	762	1440
346	763	1437
347	765	1434
348	774	1444
349	776	1441
350	777	1438
351	779	1434
352	780	1431
353	782	1428
354	784	1425
355	786	1422
356	787	1418
357	789	1415
358	790	1411
359	792	1408
360	794	1405
361	795	1402
362	797	1399
363	799	1396
364	816	1420
365	817	1416
366	819	1413
367	820	1409
368	821	1405
369	823	1401
370	830	1407
371	831	1403
372	844	1419
373	845	1415
374	847	1412
375	848	1408
376	850	1405
377	858	1411
378	873	1430
379	874	1427
380	876	1424
381	878	1420
382	879	1417
383	881	1413
384	883	1410
385	884	1407
386	886	1404
387	888	1401
388	889	1397
389	891	1394
390	893	1391
391	894	1387
392	896	1384
393	897	1381
394	899	1377
395	900	1373
396	902	1370
397	903	1366
398	905	1363
399	906	1359
400	908	1356
401	909	1353
402	911	1349
403	912	1346
404	914	1343
405	916	1340
406	917	1337
407	919	1333
408	920	1330
409	922	1327
410	923	1323
411	925	1320
412	940	1337
413	955	1352
414	957	1349
415	958	1345
416	960	1342
417	961	1339
418	963	1335
